From	To	Species	Gene Name
LRCH4	Q6KAP0	Mus musculus	leucine-rich repeats and calponin homology (CH) domain containing 4
EIF2AK4	Q69YL7	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9UJ56	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q6DC97	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9P2K8	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9H5K1	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9NSZ5	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9NSQ3	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q96GN6	Homo sapiens	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	B5U809	Danio rerio	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUM2	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUM3	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9ESB8	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUM0	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUM1	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9ESB6	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9ESB7	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUM4	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q6GQT4	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9CT30	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q8C5S0	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q8CIF5	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q6ZPT5	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9CUV9	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	Q9QZ05	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
EIF2AK4	A2AUL9	Mus musculus	eukaryotic translation initiation factor 2 alpha kinase 4
GSTCD	A5PKL6	Bos taurus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q6DDT5	Xenopus laevis	MGC82215 protein
GSTCD	A8MVD3	Homo sapiens	glutathione S-transferase, C-terminal domain containing
GSTCD	A8K8J0	Homo sapiens	glutathione S-transferase, C-terminal domain containing
GSTCD	Q8NEC7	Homo sapiens	glutathione S-transferase, C-terminal domain containing
GSTCD	Q9H8S3	Homo sapiens	glutathione S-transferase, C-terminal domain containing
GSTCD	Q9CUA9	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q8BYY6	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q8BXR2	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q9CXU7	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q6P8I1	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q9CTV2	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q5RL51	Mus musculus	glutathione S-transferase, C-terminal domain containing
GSTCD	Q6PGX0	Danio rerio	zgc:110248
GSTCD	Q5BJJ9	Danio rerio	zgc:110248
GSTCD	B8A5G3	Danio rerio	zgc:110248
GSTCD	B8A5P6	Danio rerio	zgc:110248
ESM1	Q15330	Homo sapiens	endothelial cell-specific molecule 1
ESM1	Q3V4E3	Homo sapiens	endothelial cell-specific molecule 1
ESM1	Q96ES3	Homo sapiens	endothelial cell-specific molecule 1
ESM1	B2R4G3	Homo sapiens	endothelial cell-specific molecule 1
ESM1	Q9NQ30	Homo sapiens	endothelial cell-specific molecule 1
ESM1	B9EJX9	Mus musculus	endothelial cell-specific molecule 1
ESM1	Q8VE00	Mus musculus	endothelial cell-specific molecule 1
ESM1	Q9QYY7	Mus musculus	endothelial cell-specific molecule 1
ESM1	Q91VF4	Mus musculus	endothelial cell-specific molecule 1
ESM1	A5D7V3	Bos taurus	endothelial cell-specific molecule 1
ESM1	B0JZT2	Xenopus (Silurana) tropicalis	hypothetical protein LOC100145234
ESM1	A0MAV7	Arabidopsis thaliana	GDSL esterase/lipase ESM1
ESM1	Q9LJG3	Arabidopsis thaliana	GDSL esterase/lipase ESM1
ESM1	Q941A3	Arabidopsis thaliana	GDSL esterase/lipase ESM1
ESM1	P97682	Rattus norvegicus	endothelial cell-specific molecule 1
RIMS4	Q9H426	Homo sapiens	regulating synaptic membrane exocytosis 4
RIMS4	Q5JWT7	Homo sapiens	regulating synaptic membrane exocytosis 4
RIMS4	Q3MI43	Homo sapiens	regulating synaptic membrane exocytosis 4
RIMS4	Q3MI44	Homo sapiens	regulating synaptic membrane exocytosis 4
RIMS4	Q3UYK4	Mus musculus	regulating synaptic membrane exocytosis 4
RIMS4	A4FUQ0	Mus musculus	regulating synaptic membrane exocytosis 4
RIMS4	A2A5N0	Mus musculus	regulating synaptic membrane exocytosis 4
RIMS4	P60191	Mus musculus	regulating synaptic membrane exocytosis 4
RIMS4	Q8CIX1	Rattus norvegicus	regulating synaptic membrane exocytosis 4
T	P03735	Enterobacteria phage lambda	Minor tail protein T
T	Q8P6H7	Xanthomonas campestris	XCC2992
T	Q5QC47	Enterobacteria phage JS	EpJS98_gp245
T	C3V2N6	Enterobacteria phage RB51	RB51ORF252
T	Q19CF0	Aeromonas phage 25	PHG25ORF216w
T	Q9GL27	Canis lupus	T, brachyury homolog (mouse)
T	Q9W369	Drosophila melanogaster	tan
T	Q7Y419	Enterobacteria phage RB49	RB49p254
T	A7XFM4	Enterobacteria phage Phi1	phi1p254
T	Q95KV3	Bos taurus	T, brachyury homolog (mouse)
T	C3V1V9	Enterobacteria phage RB14	RB14ORF247
T	Q6U978	Aeromonas phage 44RR2.8t	44RRORF224w
T	B7LET9	Escherichia coli	EC55989_1070
T	P06808	Enterobacteria phage T4 sensu lato	Lysis protein
T	Q66IH3	Xenopus (Silurana) tropicalis	T, brachyury homolog
T	Q858U7	Yersinia phage L-413C	L-413Cp25
T	Q56BB6	Enterobacteria phage RB43	RB43ORF283w
T	P24781	Xenopus laevis	brachyury (T)
T	Q6IP86	Xenopus laevis	brachyury (T)
T	Q56EE0	Aeromonas phage 31	PHG31p221
T	Q06E81	Enterobacteria phage RB32	RB32ORF245w
T	P79777	Gallus gallus	T, brachyury homolog (mouse)
T	Q90654	Gallus gallus	T, brachyury homolog (mouse)
T	Q7Y4Q6	Enterobacteria phage RB69	RB69p256
T	C4MZY8	Enterobacteria phage JS10	EpJS10_0243
T	Q4KMP4	Homo sapiens	T, brachyury homolog (mouse)
T	O15178	Homo sapiens	T, brachyury homolog (mouse)
T	O64314	Enterobacteria phage P2	P2p27
DUSP13	Q7TNW3	Mus musculus	dual specificity phosphatase 13
DUSP13	Q9DA25	Mus musculus	dual specificity phosphatase 13
DUSP13	Q6B8I0	Mus musculus	dual specificity phosphatase 13
DUSP13	Q497R2	Mus musculus	dual specificity phosphatase 13
DUSP13	Q9QYJ7	Mus musculus	dual specificity phosphatase 13
DUSP13	Q5XIN2	Rattus norvegicus	dual specificity phosphatase 13
DUSP13	B2RYA2	Rattus norvegicus	dual specificity phosphatase 13
DUSP13	Q5JSC6	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q6IAR0	Homo sapiens	dual specificity phosphatase 13
DUSP13	B4DUK0	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q9UII6	Homo sapiens	dual specificity phosphatase 13
DUSP13	B3KPY1	Homo sapiens	dual specificity phosphatase 13
DUSP13	A8K776	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q6B8I1	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q96GC2	Homo sapiens	dual specificity phosphatase 13
DUSP13	B3KXT0	Homo sapiens	dual specificity phosphatase 13
DUSP13	A8K782	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q96J67	Homo sapiens	dual specificity phosphatase 13
DUSP13	Q2T9T8	Bos taurus	dual specificity phosphatase 13
1300010F03RIK	Q8VCU3	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q6ZQ94	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q9DBH4	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q8CC88	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q3U4P9	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q3U2P5	Mus musculus	RIKEN cDNA 1300010F03 gene
1300010F03RIK	Q8CDH8	Mus musculus	RIKEN cDNA 1300010F03 gene
4930430A15RIK	A2AJ40	Mus musculus	RIKEN cDNA 4930430A15 gene
4930430A15RIK	Q9CUC5	Mus musculus	RIKEN cDNA 4930430A15 gene
4930430A15RIK	Q05AC5	Mus musculus	RIKEN cDNA 4930430A15 gene
4930430A15RIK	Q9D5K0	Mus musculus	RIKEN cDNA 4930430A15 gene
POLM	Q7ZUU0	Danio rerio	polymerase (DNA directed), mu
POLM	Q5IBN3	Danio rerio	polymerase (DNA directed), mu
POLM	Q9NP87	Homo sapiens	polymerase (DNA directed), mu
POLM	Q6PIY2	Homo sapiens	polymerase (DNA directed), mu
POLM	Q6P5X8	Homo sapiens	polymerase (DNA directed), mu
POLM	Q86WQ9	Homo sapiens	polymerase (DNA directed), mu
POLM	Q9H980	Homo sapiens	polymerase (DNA directed), mu
POLM	Q924W4	Mus musculus	polymerase (DNA directed), mu
POLM	Q5NCI3	Mus musculus	polymerase (DNA directed), mu
POLM	Q9JJW9	Mus musculus	polymerase (DNA directed), mu
POLM	Q7TN90	Mus musculus	polymerase (DNA directed), mu
POLM	Q9JIW4	Mus musculus	polymerase (DNA directed), mu
POLM	Q66HH0	Rattus norvegicus	polymerase (DNA directed), mu
POLM	Q58DV2	Bos taurus	polymerase (DNA directed), mu
6530403G13RIK	Q8C3V9	Mus musculus	RIKEN cDNA 6530403G13 gene
TNKS	A1K9U6	Azoarcus sp. BH72	azo2985
TNKS	Q800D9	Gallus gallus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q59FX0	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	O95271	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	O95272	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q4G0F2	Homo sapiens	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q8BX62	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q6PFX9	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q8BND2	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
TNKS	Q8CER7	Mus musculus	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase
PPP2R2D	Q7ZX64	Xenopus laevis	hypothetical protein MGC53013
PPP2R2D	Q6DIY3	Xenopus (Silurana) tropicalis	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q6IN90	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q66LE6	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	A8MZB4	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q9NZ48	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q9P1Y7	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	B3KMA9	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q5SQJ2	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q6PEG1	Homo sapiens	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q6PGU9	Danio rerio	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q66HR7	Rattus norvegicus	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	P56932	Rattus norvegicus	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q6ZPN5	Mus musculus	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q925E7	Mus musculus	protein phosphatase 2, regulatory subunit B, delta isoform
PPP2R2D	Q5ZIY5	Gallus gallus	protein phosphatase 2, regulatory subunit B, delta isoform
CNKSR3	O00309	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q96QZ9	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	O75085	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q96QZ7	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q5SGD5	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q96QZ8	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q96N65	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q6P9H4	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	O43863	Homo sapiens	membrane associated guanylate kinase, WW and PDZ domain containing 1; CNKSR family member 3
CNKSR3	Q8BMA3	Mus musculus	Cnksr family member 3
CNKSR3	Q3UDS2	Mus musculus	Cnksr family member 3
CNKSR3	Q8K2K0	Mus musculus	Cnksr family member 3
CNKSR3	Q5SGD7	Rattus norvegicus	Cnksr family member 3
CNKSR3	Q6VPP2	Rattus norvegicus	Cnksr family member 3
CNKSR3	Q5RA44	Pongo abelii	CNKSR family member 3
CNKSR3	B5DE81	Xenopus (Silurana) tropicalis	hypothetical protein LOC100216222
UPK3A	B0QY25	Homo sapiens	uroplakin 3A
UPK3A	Q5TII6	Homo sapiens	uroplakin 3A
UPK3A	Q32N05	Homo sapiens	uroplakin 3A
UPK3A	O75631	Homo sapiens	uroplakin 3A
UPK3A	O60261	Homo sapiens	uroplakin 3A
UPK3A	Q6P865	Xenopus (Silurana) tropicalis	uroplakin 3A
UPK3A	P38574	Bos taurus	uroplakin 3A
UPK3A	Q27QV3	Mus musculus	uroplakin 3A
UPK3A	Q9D1B5	Mus musculus	uroplakin 3A
UPK3A	Q9JKX8	Mus musculus	uroplakin 3A
UPK3A	Q75W53	Xenopus laevis	uroplakin III
PRPSAP1	Q6P8C3	Xenopus (Silurana) tropicalis	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q7ZY95	Xenopus laevis	hypothetical protein MGC53785
PRPSAP1	Q63417	Rattus norvegicus	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q63468	Rattus norvegicus	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q6AYZ7	Rattus norvegicus	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q14558	Homo sapiens	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	B2R6M4	Homo sapiens	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q96H06	Homo sapiens	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q8BK29	Mus musculus	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	B1AT82	Mus musculus	phosphoribosyl pyrophosphate synthetase-associated protein 1
PRPSAP1	Q9D0M1	Mus musculus	phosphoribosyl pyrophosphate synthetase-associated protein 1
COL16A1	Q71RG9	Homo sapiens	collagen, type XVI, alpha 1
COL16A1	Q59F89	Homo sapiens	collagen, type XVI, alpha 1
COL16A1	Q16593	Homo sapiens	collagen, type XVI, alpha 1
COL16A1	Q07092	Homo sapiens	collagen, type XVI, alpha 1
COL16A1	A3KFV5	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV7	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV8	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV1	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV2	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV3	Mus musculus	collagen, type XVI, alpha 1
COL16A1	Q8K388	Mus musculus	collagen, type XVI, alpha 1
COL16A1	Q8CIF9	Mus musculus	collagen, type XVI, alpha 1
COL16A1	A3KFV4	Mus musculus	collagen, type XVI, alpha 1
COL16A1	Q9CZS2	Mus musculus	collagen, type XVI, alpha 1
COL16A1	Q8BLX7	Mus musculus	collagen, type XVI, alpha 1
COL16A1	Q568Y4	Rattus norvegicus	collagen, type XVI, alpha 1
GM5084	Q8CAZ1	Mus musculus	predicted gene 5084
SYNGR4	Q3KP58	Homo sapiens	synaptogyrin 4
SYNGR4	O95473	Homo sapiens	synaptogyrin 4
SYNGR4	Q80ZT0	Mus musculus	synaptogyrin 4
SYNGR4	Q9DA94	Mus musculus	synaptogyrin 4
SYNGR4	Q9Z1L2	Mus musculus	synaptogyrin 4
SYNGR4	Q4KLY7	Rattus norvegicus	synaptogyrin 4
SYNGR4	Q2YDD6	Bos taurus	synaptogyrin 4
DENND1B	Q9D5B9	Mus musculus	DENN/MADD domain containing 1B
DENND1B	B2RUR7	Mus musculus	DENN/MADD domain containing 1B
DENND1B	Q8CG96	Mus musculus	DENN/MADD domain containing 1B
DENND1B	Q3U1T9	Mus musculus	DENN/MADD domain containing 1B
DENND1B	Q5T3B9	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q8NDT1	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q8TBE6	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q5T3B8	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q5T3C1	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q5TAI8	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q9NXU2	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q9H774	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q6P3S1	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q96AX6	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	Q6B0I8	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	B3KR95	Homo sapiens	DENN/MADD domain containing 1B
DENND1B	B5MD89	Homo sapiens	DENN/MADD domain containing 1B
KCNJ5	B2R744	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q6DK13	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q6DK14	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	P48544	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q92807	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q4QRJ2	Homo sapiens	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	P48548	Rattus norvegicus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q91658	Xenopus laevis	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q91659	Xenopus laevis	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	P97508	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	P48545	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q3TPX9	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q3MI15	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	Q9QYM1	Mus musculus	potassium inwardly-rectifying channel, subfamily J, member 5
KCNJ5	O02670	Sus scrofa	potassium inwardly-rectifying channel, subfamily J, member 5
SEMA6A	Q96T04	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q9P2H9	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q9HBL2	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q9H2E6	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q96SW4	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q96JU9	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q8NC49	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q96SY4	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q96SM8	Homo sapiens	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	O35464	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q6P5A8	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q8BUT0	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q6PCN9	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q9EQ71	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q8BXZ7	Mus musculus	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A
SEMA6A	Q6P7E1	Danio rerio	zgc:66106
SEMA6A	B6E513	Danio rerio	zgc:66106
TMEM117	A4II04	Xenopus (Silurana) tropicalis	hypothetical protein LOC100124926
TMEM117	Q8C6X8	Mus musculus	transmembrane protein 117
TMEM117	Q8BH18	Mus musculus	transmembrane protein 117
TMEM117	A0JMW0	Xenopus laevis	hypothetical protein MGC154839
TMEM117	A6QQU3	Bos taurus	transmembrane protein 117
TMEM117	Q9H0C3	Homo sapiens	transmembrane protein 117
RPE	B0REV0	Clavibacter michiganensis	CMS_2020
RPE	Q72S32	Leptospira interrogans	LIC11554
RPE	Q89IF9	Bradyrhizobium japonicum	blr5680
RPE	Q3IJA6	Pseudoalteromonas haloplanktis	PSHAa2710
RPE	A6QC87	Sulfurovum sp. NBC37-1	SUN_2156
RPE	C5J763	Mycoplasma conjunctivae	MCJ_006310
RPE	B7LS87	Escherichia fergusonii	EFER_3352
RPE	B3R6Z8	Cupriavidus taiwanensis	RALTA_A2769
RPE	A5CVF1	Calyptogena okutanii thioautotrophic gill symbiont	COSY_0970
RPE	B9JWU8	Agrobacterium vitis	Avi_2419
RPE	Q8EK14	Shewanella oneidensis	SO_0292
RPE	Q6PBW9	Danio rerio	ribulose-5-phosphate-3-epimerase; similar to ribulose-5-phosphate-3-epimerase
RPE	B8JI94	Danio rerio	ribulose-5-phosphate-3-epimerase; similar to ribulose-5-phosphate-3-epimerase
RPE	A7Z4J9	Bacillus amyloliquefaciens	RBAM_015620
RPE	Q2GI21	Ehrlichia chaffeensis	ECH_0082
RPE	Q6M502	Corynebacterium glutamicum	cg1801
RPE	Q8NQ49	Corynebacterium glutamicum	cg1801
RPE	A7I1F2	Campylobacter hominis	CHAB381_0769
RPE	C0R3C6	Wolbachia sp. wRi	WRi_006530
RPE	Q9PQ34	Ureaplasma parvum	UU456
RPE	A2RN69	Lactococcus lactis	llmg_2190; L0047
RPE	Q9CEB9	Lactococcus lactis	llmg_2190; L0047
RPE	C1AN53	Mycobacterium bovis	Ribulose-phosphate 3-epimerase
RPE	P65761	Mycobacterium bovis	Ribulose-phosphate 3-epimerase
RPE	A1KIJ7	Mycobacterium bovis	Ribulose-phosphate 3-epimerase
RPE	P71676	Mycobacterium bovis	Ribulose-phosphate 3-epimerase
RPE	B3CM22	Wolbachia endosymbiont of Culex quinquefasciatus	WPa_0832
RPE	A6TF10	Klebsiella pneumoniae	KPK_0359; KP1_5087; KPN_03757
RPE	C4X1P7	Klebsiella pneumoniae	KPK_0359; KP1_5087; KPN_03757
RPE	B5XN54	Klebsiella pneumoniae	KPK_0359; KP1_5087; KPN_03757
RPE	Q822X7	Chlamydophila caviae	CCA00551
RPE	A8FD44	Bacillus pumilus	BPUM_1478
RPE	A9BAR5	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	Q7VCA2	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	Q7V1T9	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A3PCH4	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A2BW65	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A2CAB6	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A2C1K2	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A2BQQ1	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	A8G4E4	Prochlorococcus marinus	A9601_08281; P9215_08601; P9202_732; P9301_08261; Pro0839; P9211_09961; P9515_08171; NATL1_08041; P9303_16821; PMM0766
RPE	B9KH34	Anaplasma marginale	AMF_913; AM1213
RPE	Q5P9J8	Anaplasma marginale	AMF_913; AM1213
RPE	Q5YTP0	Nocardia farcinica	nfa36030
RPE	Q601H1	Mycoplasma hyopneumoniae	MHP7448_0151; MHJ_0147; mhp231; mhp577
RPE	Q5ZZY0	Mycoplasma hyopneumoniae	MHP7448_0151; MHJ_0147; mhp231; mhp577
RPE	Q4AAI3	Mycoplasma hyopneumoniae	MHP7448_0151; MHJ_0147; mhp231; mhp577
RPE	Q4A8L4	Mycoplasma hyopneumoniae	MHP7448_0151; MHJ_0147; mhp231; mhp577
RPE	Q11UP1	Cytophaga hutchinsonii	CHU_1605
RPE	P65760	Mycobacterium tuberculosis	Ribulose-phosphate 3-epimerase
RPE	A5U2B0	Mycobacterium tuberculosis	Ribulose-phosphate 3-epimerase
RPE	P71676	Mycobacterium tuberculosis	Ribulose-phosphate 3-epimerase
RPE	C1F232	Acidobacterium capsulatum	ACP_2585
RPE	A9IVG5	Bartonella tribocorum	Btr_1347
RPE	Q5P2H8	Aromatoleum aromaticum	ebA4173
RPE	C1FSS2	Clostridium botulinum	CLM_2802; CLK_1884; CLD_2135; CLI_2563; CLH_1174; CLJ_B2732; CLB_2375; CLL_A1223; CLC_2357
